# Tamanho_do_vetor Tempo_de_execucao
100 0.000000
200 0.000000
300 0.000000
400 0.000000
500 0.000000
600 0.000000
700 0.000000
800 0.000000
900 2000.000000
1000 0.000000
1100 0.000000
1200 2000.000000
1300 1000.000000
1400 1000.000000
1500 1000.000000
1600 1000.000000
1700 1000.000000
1800 2000.000000
1900 2000.000000
2000 1000.000000
2100 2000.000000
2200 3000.000000
2300 2000.000000
2400 3000.000000
2500 3000.000000
2600 4000.000000
2700 3000.000000
2800 4000.000000
2900 4000.000000
3000 5000.000000
3100 5000.000000
3200 5000.000000
3300 5000.000000
3400 6000.000000
3500 6000.000000
3600 8000.000000
3700 7000.000000
3800 8000.000000
3900 7000.000000
4000 9000.000000
4100 8000.000000
4200 9000.000000
4300 9000.000000
4400 10000.000000
4500 10000.000000
4600 11000.000000
4700 10000.000000
4800 12000.000000
4900 12000.000000
5000 12000.000000
5100 12000.000000
5200 13000.000000
5300 14000.000000
5400 15000.000000
5500 15000.000000
5600 16000.000000
5700 16000.000000
5800 17000.000000
5900 18000.000000
6000 18000.000000
6100 17000.000000
6200 18000.000000
6300 20000.000000
6400 20000.000000
6500 21000.000000
6600 22000.000000
6700 22000.000000
6800 23000.000000
6900 25000.000000
7000 25000.000000
7100 29000.000000
7200 28000.000000
7300 26000.000000
7400 27000.000000
7500 28000.000000
7600 27000.000000
7700 31000.000000
7800 30000.000000
7900 31000.000000
8000 31000.000000
8100 33000.000000
8200 38000.000000
8300 35000.000000
8400 37000.000000
8500 35000.000000
8600 37000.000000
8700 38000.000000
8800 37000.000000
8900 39000.000000
9000 40000.000000
9100 41000.000000
9200 42000.000000
9300 42000.000000
9400 44000.000000
9500 45000.000000
9600 43000.000000
9700 46000.000000
9800 48000.000000
9900 51000.000000
10000 48000.000000
